book_key,title,author,author_bio,category,topic,rating,summary,book_pos,is_borrow
KG.GR.00029,雪国,川端康成,诺奖作家，日本新感觉派。,日本文学,纯文学,4.6,雪国温泉旅馆中的徒劳之美。,文学库 J-35架,0
KG.GR.00030,我是猫,夏目漱石,明治时期讽刺文学。,日本文学,讽刺文学,4.5,猫眼看文明开化期的知识分子。,文学库 J-36架,0
KG.GR.00031,罗生门,芥川龙之介,短篇小说鬼才。,日本文学,古典短篇,4.6,人性利己与道德困境。,文学库 J-21架,0
KG.GR.00032,嫌疑人X的献身,东野圭吾,本格与社会派推理代表。,日本文学,推理小说,4.7,数学天才为爱顶罪。,文学库 J-23架,0
KG.GR.00033,中国历代政治得失,钱穆,历史学家，通史与政治制度研究。,历史学,中国史,4.7,汉唐宋明清制度得失简论。,社科库 C-14架,1
KG.GR.00034,万历十五年,黄仁宇,大历史观倡导者。,历史学,中国史,4.8,万历朝人物与制度切片式叙述。,社科库 C-18架,0
KG.GR.00035,全球通史,斯塔夫里阿诺斯,世界史教材型著作。,历史学,世界史,4.6,从史前到冷战的世界文明进程。,社科库 C-30架,0
KG.GR.00036,人类简史,尤瓦尔·赫拉利,宏观人类史叙事。,历史学,文明史,4.5,认知革命、农业革命与科学革命。,社科库 C-14架,0
KG.GR.00037,西方哲学史,罗素,分析哲学代表人物之一。,哲学,西方哲学,4.5,从古希腊到二十世纪初的哲学脉络。,社科库 C-05架,0
KG.GR.00038,理想国,柏拉图,古希腊哲学对话录。,哲学,西方哲学,4.6,正义、国家与哲人王的古典讨论。,社科库 C-13架,0
KG.GR.00039,存在与时间,海德格尔,二十世纪存在主义源流之一。,哲学,存在主义,4.4,此在与时间性的艰深奠基之作。,社科库 C-33架,0
KG.GR.00040,心理学与生活,理查德·格里格,美国心理学教材。,心理学,认知心理,4.5,覆盖感知、学习、人格等基础主题。,社科库 C-03架,0
KG.GR.00041,社会心理学,戴维·迈尔斯,社会心理学经典教材。,心理学,社会心理,4.6,态度、从众、群体与偏见研究。,社科库 C-24架,0
KG.GR.00042,经济学原理,曼昆,新凯恩斯主义教材作者。,经济学,微观宏观,4.6,供需、市场失灵与宏观政策入门。,社科库 B-07架,0
KG.GR.00043,国富论,亚当·斯密,古典经济学奠基人。,经济学,经济思想,4.5,分工、市场与国民财富的经典论述。,社科库 B-31架,0
KG.GR.00044,刑法学,张明楷,中国刑法学体系化代表学者。,法学,刑法学,4.7,犯罪论与刑罚论教义学阐述。,社科库 B-04架,0
KG.GR.00045,民法总论,朱庆育,德国法学脉络下的民法总论。,法学,民法学,4.6,法律行为与权利主体体系分析。,社科库 B-05架,0
KG.GR.00046,新闻学概论,李良荣,中国新闻学教材主流版本之一。,新闻传播,新闻理论,4.4,新闻本源、媒体功能与舆论引导。,新书展示区 N-36架,0
KG.GR.00047,传播学教程,郭庆光,传播学基础教材。,新闻传播,传播理论,4.5,人际、群体与大众传播模型。,新书展示区 N-11架,0
KG.GR.00048,艺术的故事,贡布里希,美术史普及经典。,艺术,美术史,4.8,从史前洞穴到现代主义的图像叙事。,艺术库 G-29架,0
KG.GR.00049,西方音乐史,格劳特,音乐史权威教材之一。,艺术,音乐史,4.4,巴洛克到浪漫派的音乐风格演变。,艺术库 G-32架,0
KG.GR.00050,时间简史,史蒂芬·霍金,理论物理学家与科普作家。,自然科学,宇宙学,4.5,黑洞、大爆炸与时间的箭头。,科技库 S-24架,1
KG.GR.00051,物种起源,达尔文,进化论奠基著作。,自然科学,生命科学,4.6,自然选择与共同祖先的经典论证。,科技库 S-11架,0
KG.GR.00052,基因传,悉达多·穆克吉,医学叙事与非虚构结合。,自然科学,生命科学,4.5,基因发现史与伦理争议。,科技库 S-14架,0
KG.GR.00053,寂静的春天,蕾切尔·卡森,现代环保运动先驱。,自然科学,环境科学,4.4,农药危害与生态觉醒。,科技库 S-08架,0
KG.GR.00054,哥德尔艾舍尔巴赫,侯世达,认知科学与数理趣味写作。,计算机科学,数理逻辑,4.7,自指、怪圈与心智的类比之旅。,科技库 T-36架,0
KG.GR.00055,计算机程序的构造和解释,哈罗德·阿贝尔森,MIT经典CS教材。,计算机科学,程序设计,4.8,以Scheme阐释计算本质与抽象。,科技库 T-25架,0
KG.GR.00056,计算机网络,谢希仁,国内计算机网络教材代表。,计算机科学,网络,4.5,分层体系与协议工程实践。,科技库 T-28架,0
KG.GR.00057,操作系统概念,亚伯拉罕·西尔伯沙茨,恐龙书操作系统教材。,计算机科学,操作系统,4.6,进程、内存与文件系统原理。,科技库 T-21架,0
KG.GR.00058,数据库系统概念,西尔伯沙茨,数据库理论教材。,计算机科学,数据库,4.5,关系模型、SQL与事务处理。,科技库 T-21架,0
KG.GR.00059,模式识别与机器学习,克里斯托弗·毕晓普,机器学习概率视角经典。,计算机科学,机器学习,4.7,贝叶斯方法与图模型详解。,科技库 T-24架,0
KG.GR.00060,浪潮之巅,吴军,硅谷与科技产业观察。,计算机科学,科技史,4.5,IT公司兴衰与产业规律随笔。,科技库 T-05架,0
KG.GR.00061,人类群星闪耀时,斯蒂芬·茨威格,传记特写大师。,外国文学,传记,4.6,十四个决定世界走向的历史瞬间。,文学库 B-13架,0
KG.GR.00062,史记,司马迁,中国纪传体通史开山之作。,历史学,中国史,4.9,本纪世家列传中的先秦两汉人物。,社科库 C-20架,0
KG.GR.00063,全球通史（青少版）,斯塔夫里阿诺斯,世界史简明读本。,历史学,世界史,4.3,适合拓展世界文明常识。,社科库 C-01架,0
KG.GR.00064,诗经,佚名,中国最早的诗歌总集，传统归于孔门编订。,中国文学,古典文学,4.9,风雅颂三类篇章，先秦诗歌源头。,文学库 C-01架,0
KG.GR.00065,楚辞,屈原,战国时期楚国诗人，浪漫主义诗歌先驱。,中国文学,古典文学,4.8,《离骚》《九歌》等楚地辞赋经典。,文学库 C-02架,0
KG.GR.00066,唐诗三百首,孙洙,清代学者，号蘅塘退士，唐诗选本编者。,中国文学,古典诗词,4.8,流传最广的唐诗入门选本。,文学库 C-03架,0
KG.GR.00067,李白诗选,李白,盛唐浪漫主义诗人，被誉为诗仙。,中国文学,古典诗词,4.9,豪放飘逸，名篇如《将进酒》《蜀道难》。,文学库 C-04架,0
KG.GR.00068,杜甫诗选,杜甫,盛唐现实主义诗人，被誉为诗圣。,中国文学,古典诗词,4.9,沉郁顿挫，忧国忧民，三吏三别。,文学库 C-05架,0
KG.GR.00069,宋词三百首,朱孝臧,清末词学家，宋词选本编者。,中国文学,古典诗词,4.7,婉约豪放兼收，宋词名篇荟萃。,文学库 C-06架,0
KG.GR.00070,苏轼词选,苏轼,宋代文学家，唐宋八大家之一。,中国文学,古典诗词,4.8,《念奴娇·赤壁怀古》《水调歌头》等。,文学库 C-07架,0
KG.GR.00071,李清照词集,李清照,宋代女词人，婉约派代表。,中国文学,古典诗词,4.7,前期清丽，后期沉哀，词史独树一帜。,文学库 C-08架,0
KG.GR.00072,古文观止,吴乘权,清代学者，《古文观止》编者之一。,中国文学,古典文学,4.8,历代散文名篇选本，语文与科举启蒙经典。,文学库 C-09架,0
KG.GR.00073,世说新语,刘义庆,南朝宋宗室，志人小说开创者。,中国文学,古典文学,4.7,魏晋名士风度与言谈轶事。,文学库 C-10架,0
KG.GR.00074,聊斋志异,蒲松龄,清代小说家，文言短篇鬼狐传奇。,中国文学,古典小说,4.8,花妖狐魅中寓世情讽刺与民间信仰。,文学库 C-11架,0
KG.GR.00075,儒林外史,吴敬梓,清代讽刺小说大家。,中国文学,古典小说,4.8,科举制度下读书人群像与世态炎凉。,文学库 C-12架,0
KG.GR.00076,牡丹亭,汤显祖,明代戏曲家，临川四梦之首。,中国文学,古典戏曲,4.8,杜丽娘与柳梦梅生死爱情传奇。,文学库 C-13架,0
KG.GR.00077,西厢记,王实甫,元杂剧代表作家。,中国文学,古典戏曲,4.7,崔莺莺与张生有情人终成眷属。,文学库 C-14架,0
KG.GR.00078,文心雕龙,刘勰,南朝文学理论家。,中国文学,古典文学,4.7,中国第一部系统文艺理论专著。,文学库 C-15架,0
KG.GR.00079,论语,孔子,春秋思想家，儒家学派创始人。,中国文学,古典文学,4.9,语录体儒家经典，修身为政之道。,文学库 C-16架,0
KG.GR.00080,道德经,老子,春秋思想家，道家创始人。,哲学,中国哲学,4.8,五千言阐明道与自然无为。,社科库 C-22架,0
KG.GR.00081,孙子兵法,孙武,春秋军事家，兵学奠基人。,中国文学,古典文学,4.8,十三篇兵法，影响东亚军事与谋略思想。,文学库 C-17架,0
KG.GR.00082,资治通鉴,司马光,北宋史学家，编年体通史巨著。,历史学,中国史,4.9,上起战国下至五代，通鉴体开山之作。,社科库 C-23架,0
KG.GR.00083,金瓶梅,兰陵笑笑生,明代长篇世情小说作者（署名）。,中国文学,古典小说,4.6,晚明市井家庭与世情书写，章回体长篇。,文学库 C-18架,0
KG.GR.00084,镜花缘,李汝珍,清代小说家，讽刺与幻想结合。,中国文学,古典小说,4.5,海外奇遇与才女才艺，寓社会批判。,文学库 C-19架,0
