name,primary_field,bio
屈原,古典文学,战国时期楚国诗人，《楚辞》代表，《离骚》作者，浪漫主义诗歌先驱。
李白,古典诗词,盛唐浪漫主义诗人，被誉为「诗仙」，名篇《将进酒》《蜀道难》。
杜甫,古典诗词,盛唐现实主义诗人，被誉为「诗圣」，三吏三别忧国忧民。
苏轼,古典诗词,宋代文学家词人，唐宋八大家之一，豪放词派代表。
李清照,古典诗词,宋代女词人，婉约派代表，词风前后两变。
孙洙,古典文学,清代康熙年间学者，号蘅塘退士，《唐诗三百首》编选者。
朱孝臧,古典文学,清末词学家，《宋词三百首》编选者。
吴乘权,古典文学,清代学者，《古文观止》编者之一。
刘义庆,古典文学,南朝宋文学家，《世说新语》作者，开创志人小说。
蒲松龄,中国古典文学,清代小说家，《聊斋志异》作者，文言鬼狐短篇。
吴敬梓,中国古典文学,清代小说家，《儒林外史》作者，讽刺科举与世态。
汤显祖,古典戏曲,明代戏曲家，《牡丹亭》作者，临川四梦之首。
王实甫,古典戏曲,元杂剧代表作家，《西厢记》作者。
刘勰,古典文学,南朝文学理论家，《文心雕龙》作者。
孔子,中国哲学,春秋思想家，儒家学派创始人，《论语》语录结集者。
老子,中国哲学,春秋思想家，道家创始人，《道德经》作者。
孙武,古典文学,春秋军事家，《孙子兵法》作者，兵学奠基人。
司马光,中国史,北宋史学家，《资治通鉴》主编，编年体通史巨著。
兰陵笑笑生,中国古典文学,明代长篇世情小说《金瓶梅》署名作者（真实作者存疑）。
李汝珍,中国古典文学,清代小说家，《镜花缘》作者，讽刺幻想长篇。
